category_id,category_name,parent_category_id,parent_category_name,hierarchy_level,category_path,source_product_types,keywords,aliases
ABR_DISC_MESH,Abrasive Mesh Strips,ABR_DISC,Abrasive Discs & Wheels,3,Abrasive Discs & Wheels > Abrasive Mesh Strips,Abrasive Mesh Strip,abranet;mesh strip;mesh,mesh strip
ABR_BELT_SANDING,Sanding Belts,ABR_BELT,Abrasive Belts,3,Abrasive Belts > Sanding Belts,Sanding Belt,sanding belt;belt,sanding band
PWR_SAW_CIRC,Circular Saws & Kits,PWR_SAW,Power Saws,3,Power Saws > Circular Saws & Kits,Circular Saw;Circular Saw Kit,circ saw;circular saw;circ,circ saw
PWR_SAW_JIG,Jig Saws,PWR_SAW,Power Saws,3,Power Saws > Jig Saws,Jig Saw,jig saw;jigsaw,sabre saw
PWR_DRILL_IMP,Impact Drivers & Nailers,PWR_DRILL,Drills & Drivers,3,Drills & Drivers > Impact Drivers & Nailers,Combo Kit,hydraulic driver;impact driver;hex driver;framing nailer;drill;combo kit,drivers
PWR_BENCH_PLANER,Planers & Jointers,PWR_BENCH,Woodworking & Machinery,3,Woodworking & Machinery > Planers & Jointers,Planer;Jointer;Shaper,planer;benchtop planer;jointer;shaper;stock feeder;miter sled,planers
PWR_ACC_BATT,Batteries & Chargers,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Batteries & Chargers,Battery;Battery Pack;Battery Charger,battery;battery pack;charger;rapid charger,powerpack
PWR_ACC_BLADE,Saw & Tile Blades,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Saw & Tile Blades,Blade,tile blade;diamond blade;rim glass tile;blade,blades
PWR_ACC_BIT,Drive Bits,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Drive Bits,Drive Bit,square drive bit;torx drive bit;drive bit;hex bit,bits
PWR_ACC_EXTRACT,Dust Extractors,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Dust Extractors,Dust Extractor,dust extractor;vacuum,extractor
PWR_ACC_ORG,Tool Organizers & Boxes,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Tool Organizers & Boxes,Organizer,organizer;packout;tool box,storage
PWR_ACC_ROTARY,Rotary Tools,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Rotary Tools,Rotary Tool,rotary tool;dremel,rotary
PWR_ACC_LASER,Laser Levels,PWR_ACC,Tool Accessories & Attachments,3,Tool Accessories & Attachments > Laser Levels,Laser Level,cross line laser;laser;line laser,lasers
LGT_FIX_WALL,Wall Sconces & Bath Lights,LGT_FIX,Light Fixtures,3,Light Fixtures > Wall Sconces & Bath Lights,Wall Light,wall sconce;wall lt;bath light;ext wall lt,wall lighting
LGT_FIX_CEIL,Chandeliers & Pendant Lights,LGT_FIX,Light Fixtures,3,Light Fixtures > Chandeliers & Pendant Lights,Ceiling Light,chandelier;pendant lt;ceiling lt;down light,pendant
LGT_BULB_LED,LED Light Bulbs,LGT_BULB,Light Bulbs,3,Light Bulbs > LED Light Bulbs,LED Bulb,led med;led st19;led cand;incan cand;60w led;150w led;75w led,led bulbs
LGT_ELEC_BOX,Electrical Boxes & Covers,LGT_ELEC,Electrical Boxes & Wiring,3,Electrical Boxes & Wiring > Electrical Boxes & Covers,Electrical Box,2g box;oct box;gfi box cover;box cover,junction box
LGT_ELEC_WIRE,Electrical Wire & Cable,LGT_ELEC,Electrical Boxes & Wiring,3,Electrical Boxes & Wiring > Electrical Wire & Cable,Tape,so cord;stranded wire;vinyl elect tape;tape,cable
APP_CLEAN_DISH,Built-In Dishwashers,APP_CLEAN,Cleaning & Laundry Appliances,3,Cleaning & Laundry Appliances > Built-In Dishwashers,Dishwasher,dishwasher;built-in dishwasher;ss dishwasher,dishwashers
APP_CLEAN_LAUNDRY,"Washers, Dryers & Laundry Centers",APP_CLEAN,Cleaning & Laundry Appliances,3,"Cleaning & Laundry Appliances > Washers, Dryers & Laundry Centers",Electric Dryer;Washer;Laundry Center,elect dryer;gas dryer;washer;laundry center,laundry
APP_KITCHEN_MICROWAVE,Microwaves & Ranges,APP_KITCHEN,Kitchen Appliances & Cooking,3,Kitchen Appliances & Cooking > Microwaves & Ranges,Microwave,microwave;fridge;refrigerator;heater kit,microwaves
BLD_DECK_PVC,PVC & Composite Decking,BLD_DECK,Decking & Railing,3,Decking & Railing > PVC & Composite Decking,Decking,pvc decking;composite decking;azek decking;trex;lineage;biscayne;carmel;grooved;sq edge;fascia,decking
BLD_DECK_RAIL,Railing & Fence Kits,BLD_DECK,Decking & Railing,3,Decking & Railing > Railing & Fence Kits,Railing Kit;Fence,t-rail kit;rail panel;classic horiz;fence;post sleeve;gate;balusters;bal;finyline,railing
BLD_LUMBER_BOARDS,Lumber & Building Supplies,BLD_LUMBER,Lumber & Panels,3,Lumber & Panels > Lumber & Building Supplies,Lumber,doug fir;smart pan cedar;zip rainscreen;patio dr;plate;mortar;type n,boards
SAF_WORK_HEATED,Heated Workwear & Gear,SAF_WORK,Workwear & Safety Gear,3,Workwear & Safety Gear > Heated Workwear & Gear,Heated Apparel,heated work glove;glove liners;safety glasses,heated gear
