attribute_lov_id,attribute_name,attribute_type,canonical_value,normalized_value,aliases,unit,allowed_category_ids,source_count,is_active
LOV_LENGTH_0071,length,measurement,13 ft,13 ft,,ft,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_LENGTH_0072,length,measurement,500 ft,500 ft,,ft,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_WIDTH_PROFILE_0073,width_profile,measurement,1x6,1x6,,in,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_WIDTH_PROFILE_0074,width_profile,measurement,4x4,4x4,,in,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_WIDTH_PROFILE_0075,width_profile,measurement,6x6,6x6,,in,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_WIDTH_PROFILE_0076,width_profile,measurement,1x8,1x8,,in,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_WIDTH_PROFILE_0077,width_profile,measurement,1x12,1x12,,in,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0078,color,enum,Coastline,coastline,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0079,color,enum,English Walnut,english walnut,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0080,color,enum,French White Oak,french white oak,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0081,color,enum,Slate Gray,slate gray,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0082,color,enum,White,white,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0083,color,enum,Black,black,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL;SAF;SAF_WORK;SAF_WORK_HEATED,1,True
LOV_COLOR_0084,color,enum,Charcoal,charcoal,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0085,color,enum,Clay,clay,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0086,color,enum,Biscayne,biscayne,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0087,color,enum,Carmel,carmel,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_COLOR_0088,color,enum,Red,red,,,SAF;SAF_WORK;SAF_WORK_HEATED,1,True
LOV_COLOR_0089,color,enum,Clear,clear,,,SAF;SAF_WORK;SAF_WORK_HEATED,1,True
LOV_EDGE_PROFILE_0090,edge_profile,enum,Square Edge,square edge,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_EDGE_PROFILE_0091,edge_profile,enum,Grooved,grooved,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_EDGE_PROFILE_0092,edge_profile,enum,Fascia,fascia,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_MATERIAL_0093,material,enum,PVC,pvc,POLYVINYL;PVC,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,53,True
LOV_MATERIAL_0094,material,enum,Composite,composite,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_MATERIAL_0095,material,enum,Aluminum,aluminum,AL;ALUM;ALUMINUM,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_MATERIAL_0096,material,enum,Vinyl,vinyl,,,BLD_DECK;BLD_DECK_PVC;BLD_DECK_RAIL,1,True
LOV_MATERIAL_0097,material,enum,Stainless Steel,stainless steel,S.S.;SS,,,1,True
LOV_MATERIAL_0098,material,enum,Brass,brass,BRASS;BRS,,,1,True
LOV_POWER_TYPE_0099,power_type,enum,Electric,electric,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE,1,True
LOV_POWER_TYPE_0100,power_type,enum,Gas,gas,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE,1,True
LOV_DISPLAY_STATUS_0101,display_status,enum,Display Only,display only,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE,1,True
LOV_DISPLAY_STATUS_0102,display_status,enum,New,new,,,APP;APP_CLEAN;APP_CLEAN_DISH;APP_CLEAN_LAUNDRY;APP_KITCHEN;APP_KITCHEN_MICROWAVE,1,True
LOV_DRIVE_SIZE_0103,drive_size,measurement,1/4 in,1/4 in,,in,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,2,True
LOV_DRIVE_SIZE_0104,drive_size,measurement,3/8 in,3/8 in,,in,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,3,True
LOV_DRIVE_SIZE_0105,drive_size,measurement,1/2 in,1/2 in,,in,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_VOLTAGE_0106,voltage,measurement,12V,12v,,V,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,2,True
LOV_VOLTAGE_0107,voltage,measurement,18V,18v,,V,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,3,True
LOV_VOLTAGE_0108,voltage,measurement,20V,20v,,V,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,9,True
LOV_VOLTAGE_0109,voltage,measurement,120V,120v,,V,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_AMP_HOUR_0110,amp_hour,measurement,8Ah,8ah,,Ah,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_AMP_HOUR_0111,amp_hour,measurement,12Ah,12ah,,Ah,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_BIT_TYPE_0112,bit_type,enum,Phillips,phillips,,,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_BIT_TYPE_0113,bit_type,enum,Torx,torx,,,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_BIT_TYPE_0114,bit_type,enum,Square Drive,square drive,,,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_BIT_TYPE_0115,bit_type,enum,Hex,hex,,,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_BIT_TYPE_0116,bit_type,enum,Universal Joint,universal joint,,,PWR_ACC;PWR_ACC_BATT;PWR_ACC_BIT;PWR_ACC_BLADE;PWR_ACC_EXTRACT;PWR_ACC_LASER;PWR_ACC_ORG;PWR_ACC_ROTARY,1,True
LOV_WIDTH_0117,width,measurement,3/4 in,3/4 in,,in,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_WIDTH_0118,width,measurement,1.5 in,1.5 in,,in,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_WIDTH_0119,width,measurement,2 in,2 in,,in,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_BOX_GANG_0120,box_gang,enum,2G,2g,,,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_BOX_GANG_0121,box_gang,enum,Octagon,octagon,,,LGT_ELEC;LGT_ELEC_BOX;LGT_ELEC_WIRE,1,True
LOV_LENSE_TYPE_0122,lense_type,enum,Photochromic,photochromic,,,SAF;SAF_WORK;SAF_WORK_HEATED,1,True
LOV_LENSE_TYPE_0123,lense_type,enum,Red Lenses,red lenses,,,SAF;SAF_WORK;SAF_WORK_HEATED,1,True
LOV_LENSE_TYPE_0124,lense_type,enum,Clear,clear,,,SAF;SAF_WORK;SAF_WORK_HEATED,1,True
LOV_THICKNESS_0125,thickness,measurement,1/2 in,1/2 in,,in,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_THICKNESS_0126,thickness,measurement,5/8 in,5/8 in,,in,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_THICKNESS_0127,thickness,measurement,3/4 in,3/4 in,,in,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_WOOD_SPECIES_0128,wood_species,enum,Doug Fir,doug fir,,,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_WOOD_SPECIES_0129,wood_species,enum,Cedar,cedar,,,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_WOOD_SPECIES_0130,wood_species,enum,French White Oak,french white oak,,,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_MORTAR_TYPE_0131,mortar_type,enum,Type N,type n,,,BLD_LUMBER;BLD_LUMBER_BOARDS,1,True
LOV_DIMENSIONS_0132,dimensions,measurement,1/2 in x 18 in,1/2 in x 18 in,,in,ABR_BELT_SANDING,1,True
LOV_DIMENSIONS_0133,dimensions,measurement,2.75 in x 30 in,2.75 in x 30 in,,in,ABR_DISC_MESH,2,True
LOV_PACK_QUANTITY_0134,pack_quantity,measurement,6,6,6.0,pcs,ABR_BELT_SANDING,1,True
LOV_PACK_QUANTITY_0135,pack_quantity,measurement,50,50,50.0,pcs,ABR_DISC_STIKIT,6,True
LOV_PACK_QUANTITY_0136,pack_quantity,measurement,10,10,10.0,pcs,ABR_DISC_CUT,2,True
LOV_PACK_QUANTITY_0137,pack_quantity,measurement,2,2,2.0,pcs,LGT;LGT_BULB;LGT_BULB_LED,36,True
LOV_PACK_QUANTITY_0138,pack_quantity,measurement,4,4,4.0,pcs,LGT;LGT_BULB_LED,11,True
LOV_PACK_QUANTITY_0139,pack_quantity,measurement,3,3,3.0,pcs,LGT;LGT_BULB;LGT_BULB_LED,21,True
LOV_PIECE_COUNT_0140,piece_count,measurement,6,6,6.0,pcs,PWR_ACC_BATT,1,True
LOV_PIECE_COUNT_0141,piece_count,measurement,242,242,242.0,pcs,PWR_ACC_ORG,1,True
LOV_PIECE_COUNT_0142,piece_count,measurement,50,50,50.0,pcs,PWR_ACC_BIT,1,True
LOV_PIECE_COUNT_0143,piece_count,measurement,84,84,84.0,pcs,PWR_ACC_BIT,1,True
LOV_PIECE_COUNT_0144,piece_count,measurement,15,15,15.0,pcs,PWR_ACC_BLADE;PWR_ACC_ORG;PWR_ACC_ROTARY,4,True
LOV_PIECE_COUNT_0145,piece_count,measurement,25,25,25.0,pcs,PWR_ACC_ROTARY,1,True
LOV_PIECE_COUNT_0146,piece_count,measurement,5,5,5.0,pcs,PWR_ACC_ROTARY,2,True
LOV_PIECE_COUNT_0147,piece_count,measurement,2,2,2.0,pcs,PWR_ACC_BATT,1,True
