================================================================================
           PRODEXA - OFFICIAL EXPECTED-OUTPUT SCHEMA COVERAGE AUDIT            
================================================================================
Audit Timestamp: 2026-08-21
Target Delivery Schema: Unihack_ Expected Output - Delivery Format.csv
Internal Data Models Evaluated: PRODEXA Intelligence Pipeline & data/final/enriched.csv
Final Output Dataset Generated: data/final/unihack_expected_output.csv
================================================================================

1. SCHEMA DISTINCTION & COVERAGE SUMMARY
--------------------------------------------------------------------------------
  - Expected schema fields                           : 252
  - Fields originally present in enriched.csv        : 25
  - Directly matched fields                          : 17
  - Internal/extra fields in enriched.csv            : 5
  - Fields Not Directly Available in enriched.csv    : 235
  - Final delivery columns                           : 252
  - Fields populated in at least one product         : 63 (25.0%)
  - Fields completely empty across all products     : 189 (75.0%)

  [EXPLANATION REGARDING 'Fields Not Directly Available in enriched.csv: 235']
  Note: The 235 fields not directly present in enriched.csv are NOT missing from the final delivery schema.
  The generated delivery file (data/final/unihack_expected_output.csv) contains ALL 252 required columns.
  These 235 non-direct fields are either:
    a) Deterministically mapped from other PRODEXA intelligence outputs (e.g. described_products.csv,
       attribute_evidence.csv, source_registry.csv, product_taxonomy.csv, dynamic attribute store), or
    b) Left strictly as clean empty strings when required product information is genuinely unavailable.

2. SUPPORT CATEGORY BREAKDOWN & DEFINITIONS
--------------------------------------------------------------------------------
Category Definitions:
  - FULLY_SUPPORTED    : >= 80% product population (>= 800 out of 1000 products)
  - PARTIALLY_SUPPORTED: 1% to 79% product population (1 to 799 out of 1000 products)
  - NOT_SUPPORTED      : 0% product population (0 out of 1000 products; clean empty strings)

Category Counts:
  - FULLY_SUPPORTED    : 20 fields
  - PARTIALLY_SUPPORTED: 43 fields
  - NOT_SUPPORTED      : 189 fields
  - Verification Check : 20 + 43 + 189 = 252 (Matches Expected 252: True)

3. INTERNAL METADATA FIELDS IN enriched.csv
--------------------------------------------------------------------------------
  - validation_status (Internal validation/confidence flag)
  - confidence_score (Internal validation/confidence flag)
  - confidence_decision (Internal validation/confidence flag)
  - human_review_status (Internal validation/confidence flag)
  - evidence_status (Internal validation/confidence flag)

4. COMPLETE FIELD-BY-FIELD MAPPING & AUDIT TABLE
--------------------------------------------------------------------------------
IDX  | EXPECTED HEADER                   | SUPPORT CATEGORY    | POPULATED | POP %  | SOURCE PRODEXA FIELD           | TRANSFORMATION / UNSUPPORTED EXPLANATION
15   | Unilog_Brand                      | FULLY_SUPPORTED     | 1000/1000 | 100.0% | data/raw/input.csv [Unilog_Brand] | Direct pass-through from raw input dataset
16   | DIB_Brand                         | FULLY_SUPPORTED     | 1000/1000 | 100.0% | data/raw/input.csv [DIB_Brand] | Direct pass-through from raw input dataset
17   | Part_Manuf                        | FULLY_SUPPORTED     | 1000/1000 | 100.0% | data/raw/input.csv [Part_Manuf] | Direct pass-through from raw input dataset
18   | MANUFACTURER_NAME                 | FULLY_SUPPORTED     | 959/1000  | 95.9%  | described_products.csv [manufacturer_name] | PRODEXA Canonical Identity Resolution (Phases 1-3)
19   | BRAND_NAME                        | PARTIALLY_SUPPORTED | 638/1000  | 63.8%  | described_products.csv [brand_name] | PRODEXA Canonical Identity Resolution (Phases 1-3)
20   | TRADE_NAME                        | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
21   | MANUFACTURER_PART_NUMBER          | FULLY_SUPPORTED     | 1000/1000 | 100.0% | described_products.csv [manufacturer_part_number] | PRODEXA Canonical Identity Resolution (Phases 1-3)
22   | ALTERNATE_PART_NUMBER             | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
23   | Classpath                         | FULLY_SUPPORTED     | 813/1000  | 81.3%  | described_products.csv [category_path/name] | PRODEXA Product Taxonomy Classifier (Phase 4)
24   | MOBILE_DESC                       | FULLY_SUPPORTED     | 1000/1000 | 100.0% | Derived from SKU / Part_Desc   | Deterministic Delivery Schema Format Layer
25   | INVOICE_DESC                      | FULLY_SUPPORTED     | 1000/1000 | 100.0% | Derived from SKU / Part_Desc   | Deterministic Delivery Schema Format Layer
26   | SHORT_DESC                        | FULLY_SUPPORTED     | 1000/1000 | 100.0% | described_products.csv [long/short_desc] | PRODEXA Description Generator (Phase 13)
27   | LONG_DESC1                        | FULLY_SUPPORTED     | 1000/1000 | 100.0% | described_products.csv [long/short_desc] | PRODEXA Description Generator (Phase 13)
28   | RETAIL_DESC                       | FULLY_SUPPORTED     | 1000/1000 | 100.0% | Derived from SKU / Part_Desc   | Deterministic Delivery Schema Format Layer
29   | MARKETING_DESCRIPTION             | FULLY_SUPPORTED     | 1000/1000 | 100.0% | described_products.csv [long/short_desc] | PRODEXA Description Generator (Phase 13)
30   | ITEM_FEATURES_1                   | PARTIALLY_SUPPORTED | 208/1000  | 20.8%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
31   | ITEM_FEATURES_2                   | PARTIALLY_SUPPORTED | 208/1000  | 20.8%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
32   | ITEM_FEATURES_3                   | PARTIALLY_SUPPORTED | 208/1000  | 20.8%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
33   | ITEM_FEATURES_4                   | PARTIALLY_SUPPORTED | 208/1000  | 20.8%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
34   | ITEM_FEATURES_5                   | PARTIALLY_SUPPORTED | 208/1000  | 20.8%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
35   | ITEM_FEATURES_6                   | PARTIALLY_SUPPORTED | 201/1000  | 20.1%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
36   | ITEM_FEATURES_7                   | PARTIALLY_SUPPORTED | 201/1000  | 20.1%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
37   | ITEM_FEATURES_8                   | PARTIALLY_SUPPORTED | 200/1000  | 20.0%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
38   | ITEM_FEATURES_9                   | PARTIALLY_SUPPORTED | 200/1000  | 20.0%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
39   | ITEM_FEATURES_10                  | PARTIALLY_SUPPORTED | 200/1000  | 20.0%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
40   | ITEM_FEATURES_11                  | PARTIALLY_SUPPORTED | 200/1000  | 20.0%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
41   | ITEM_FEATURES_12                  | PARTIALLY_SUPPORTED | 200/1000  | 20.0%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
42   | ITEM_FEATURES_13                  | PARTIALLY_SUPPORTED | 200/1000  | 20.0%  | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
43   | ITEM_FEATURES_14                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
44   | ITEM_FEATURES_15                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
45   | ITEM_FEATURES_16                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
46   | ITEM_FEATURES_17                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
47   | ITEM_FEATURES_18                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
48   | ITEM_FEATURES_19                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
49   | ITEM_FEATURES_20                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | attribute_evidence.csv [evidence_text] | PRODEXA Bullet Feature Extractor (Phase 9)
50   | With                              | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
51   | Standard/Approvals                | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
52   | Prop 65                           | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
53   | Application                       | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
54   | Includes                          | NOT_SUPPORTED       | 0/1000    | 0.0%   | N/A (Not Captured in Pipeline) | Information genuinely unavailable in source catalog; preserved as clean empty string without fabrication.
55   | Product Name                      | PARTIALLY_SUPPORTED | 295/1000  | 29.5%  | described_products.csv [category_path/name] | PRODEXA Product Taxonomy Classifier (Phase 4)
56   | ATTRIBUTE_LABEL 1                 | PARTIALLY_SUPPORTED | 641/1000  | 64.1%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
57   | ATTRIBUTE_VALUE 1                 | PARTIALLY_SUPPORTED | 641/1000  | 64.1%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
58   | ATTRIBUTE_UOM 1                   | PARTIALLY_SUPPORTED | 192/1000  | 19.2%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
59   | ATTRIBUTE_LABEL 2                 | PARTIALLY_SUPPORTED | 382/1000  | 38.2%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
60   | ATTRIBUTE_VALUE 2                 | PARTIALLY_SUPPORTED | 382/1000  | 38.2%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
61   | ATTRIBUTE_UOM 2                   | PARTIALLY_SUPPORTED | 115/1000  | 11.5%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
62   | ATTRIBUTE_LABEL 3                 | PARTIALLY_SUPPORTED | 283/1000  | 28.3%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
63   | ATTRIBUTE_VALUE 3                 | PARTIALLY_SUPPORTED | 283/1000  | 28.3%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
64   | ATTRIBUTE_UOM 3                   | PARTIALLY_SUPPORTED | 55/1000   | 5.5%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
65   | ATTRIBUTE_LABEL 4                 | PARTIALLY_SUPPORTED | 254/1000  | 25.4%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
66   | ATTRIBUTE_VALUE 4                 | PARTIALLY_SUPPORTED | 254/1000  | 25.4%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
67   | ATTRIBUTE_UOM 4                   | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
68   | ATTRIBUTE_LABEL 5                 | PARTIALLY_SUPPORTED | 193/1000  | 19.3%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
69   | ATTRIBUTE_VALUE 5                 | PARTIALLY_SUPPORTED | 193/1000  | 19.3%  | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
70   | ATTRIBUTE_UOM 5                   | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
71   | ATTRIBUTE_LABEL 6                 | PARTIALLY_SUPPORTED | 91/1000   | 9.1%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
72   | ATTRIBUTE_VALUE 6                 | PARTIALLY_SUPPORTED | 91/1000   | 9.1%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
73   | ATTRIBUTE_UOM 6                   | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
74   | ATTRIBUTE_LABEL 7                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
75   | ATTRIBUTE_VALUE 7                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
76   | ATTRIBUTE_UOM 7                   | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
77   | ATTRIBUTE_LABEL 8                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
78   | ATTRIBUTE_VALUE 8                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
79   | ATTRIBUTE_UOM 8                   | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
80   | ATTRIBUTE_LABEL 9                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
81   | ATTRIBUTE_VALUE 9                 | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
82   | ATTRIBUTE_UOM 9                   | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
83   | ATTRIBUTE_LABEL 10                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
84   | ATTRIBUTE_VALUE 10                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
85   | ATTRIBUTE_UOM 10                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
86   | ATTRIBUTE_LABEL 11                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
87   | ATTRIBUTE_VALUE 11                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
88   | ATTRIBUTE_UOM 11                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
89   | ATTRIBUTE_LABEL 12                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
90   | ATTRIBUTE_VALUE 12                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
91   | ATTRIBUTE_UOM 12                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
92   | ATTRIBUTE_LABEL 13                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
93   | ATTRIBUTE_VALUE 13                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
94   | ATTRIBUTE_UOM 13                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
95   | ATTRIBUTE_LABEL 14                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
96   | ATTRIBUTE_VALUE 14                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
97   | ATTRIBUTE_UOM 14                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
98   | ATTRIBUTE_LABEL 15                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
99   | ATTRIBUTE_VALUE 15                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
100  | ATTRIBUTE_UOM 15                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
101  | ATTRIBUTE_LABEL 16                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
102  | ATTRIBUTE_VALUE 16                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
103  | ATTRIBUTE_UOM 16                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
104  | ATTRIBUTE_LABEL 17                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
105  | ATTRIBUTE_VALUE 17                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
106  | ATTRIBUTE_UOM 17                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
107  | ATTRIBUTE_LABEL 18                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
108  | ATTRIBUTE_VALUE 18                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
109  | ATTRIBUTE_UOM 18                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
110  | ATTRIBUTE_LABEL 19                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
111  | ATTRIBUTE_VALUE 19                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
112  | ATTRIBUTE_UOM 19                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
113  | ATTRIBUTE_LABEL 20                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
114  | ATTRIBUTE_VALUE 20                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
115  | ATTRIBUTE_UOM 20                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
116  | ATTRIBUTE_LABEL 21                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
117  | ATTRIBUTE_VALUE 21                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
118  | ATTRIBUTE_UOM 21                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
119  | ATTRIBUTE_LABEL 22                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
120  | ATTRIBUTE_VALUE 22                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
121  | ATTRIBUTE_UOM 22                  | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
122  | ATTRIBUTE_LABEL 23                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
123  | ATTRIBUTE_VALUE 23                | NOT_SUPPORTED       | 0/1000    | 0.0%   | uom_normalized_attributes_json | PRODEXA Dynamic Attribute Unpacking & UOM Normalizer (Phases 5-6)
