MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.milwaukeetool.com/products/49941965,https://www.milwaukeetool.com/docs/datasheets/49941965.pdf,https://www.industrialdistributor.com/p/49941965,,,,25000055,Abrasive Discs & Wheels,Grinding Wheels,Grinding Wheel,PROD-0055,49-94-1965,"49-94-1965 Milw 7""x1/4""x7/8"" Masonry Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,,49-94-1965,,Abrasive Discs & Wheels > Grinding Wheels,Milwaukee Grinding Wheel 49-94-1965,"49-94-1965 MILW 7""X1/4""X7/8"" MASONRY GRINDING WHEEL",The Milwaukee Grinding Wheel is a verified Grinding Wheel.,[Product Overview] Brand: Milwaukee | Product Type: Grinding Wheel [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Milwaukee Grinding Wheel 49-94-1965,[Product Overview] Brand: Milwaukee | Product Type: Grinding Wheel [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Grinding Wheel,Diameter,7 in,in,Size,1/4 in x 7/8 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8 in,,,,1/4 in,,,,,,https://www.milwaukeetool.com/products/49941965,,,,,,,,,https://www.milwaukeetool.com/docs/datasheets/49941965.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.milwaukeetool.com/products/49940513,https://www.milwaukeetool.com/docs/datasheets/49940513.pdf,https://www.industrialdistributor.com/p/49940513,,,,25000056,Abrasive Discs & Wheels,Grinding Wheels,Grinding Wheel,PROD-0056,49-94-0513,"49-94-0513 Milw 5""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,,49-94-0513,,Abrasive Discs & Wheels > Grinding Wheels,Milwaukee Grinding Wheel 49-94-0513,"49-94-0513 MILW 5""X1/4""X7/8"" METAL GRINDING WHEEL",The Milwaukee Grinding Wheel is a verified Grinding Wheel.,[Product Overview] Brand: Milwaukee | Product Type: Grinding Wheel [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Milwaukee Grinding Wheel 49-94-0513,[Product Overview] Brand: Milwaukee | Product Type: Grinding Wheel [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Grinding Wheel,Diameter,5 in,in,Size,1/4 in x 7/8 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8 in,,,,1/4 in,,,,,,https://www.milwaukeetool.com/products/49940513,,,,,,,,,https://www.milwaukeetool.com/docs/datasheets/49940513.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.milwaukeetool.com/products/49940533,https://www.milwaukeetool.com/docs/datasheets/49940533.pdf,https://www.industrialdistributor.com/p/49940533,,,,25000057,Abrasive Discs & Wheels,Grinding Wheels,Grinding Wheel,PROD-0057,49-94-0533,"49-94-0533 Milw 7""x1/4""x7/8"" Metal Grinding Wheel",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Accessory,Milwaukee,,49-94-0533,,Abrasive Discs & Wheels > Grinding Wheels,Milwaukee Grinding Wheel 49-94-0533,"49-94-0533 MILW 7""X1/4""X7/8"" METAL GRINDING WHEEL",The Milwaukee Grinding Wheel is a verified Grinding Wheel.,[Product Overview] Brand: Milwaukee | Product Type: Grinding Wheel [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Milwaukee Grinding Wheel 49-94-0533,[Product Overview] Brand: Milwaukee | Product Type: Grinding Wheel [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Grinding Wheel,Diameter,7 in,in,Size,1/4 in x 7/8 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/8 in,,,,1/4 in,,,,,,https://www.milwaukeetool.com/products/49940533,,,,,,,,,https://www.milwaukeetool.com/docs/datasheets/49940533.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.freudtools.com/products/dfblblomfn01g,https://www.freudtools.com/docs/datasheets/dfblblomfn01g.pdf,https://www.industrialdistributor.com/p/dfblblomfn01g,,,,25000058,Abrasive Discs & Wheels,Abrasive Sanding Discs,Sanding Sponge,PROD-0058,DFBLBLOMFN01G,DFBLBLOMFN01G Diablo 220 Grit - Flat Edge Sanding Sponge,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Diablo,,DFBLBLOMFN01G,,Abrasive Discs & Wheels > Abrasive Sanding Discs,Diablo Sanding Sponge DFBLBLOMFN01G,DFBLBLOMFN01G DIABLO 220 GRIT - FLAT EDGE SANDING SPONGE,The Diablo Sanding Sponge is a verified Sanding Sponge.,[Product Overview] Brand: Diablo | Product Type: Sanding Sponge [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Diablo Sanding Sponge DFBLBLOMFN01G,[Product Overview] Brand: Diablo | Product Type: Sanding Sponge [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Sponge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freudtools.com/products/dfblblomfn01g,,,,,,,,,https://www.freudtools.com/docs/datasheets/dfblblomfn01g.pdf,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000059,Electrical Boxes & Wiring,Electrical Wire & Cable,Tape,PROD-0059,1700-1PK-BB40,3/4x60' Vinyl Elect Tape,-- Unbranded --,-- No Unilog Brand --,3M,3 M Co (5293),3 M Co,3M,,1700-1PK-BB40,,Electrical Boxes & Wiring > Electrical Wire & Cable,3M Tape 1700-1PK-BB40,3/4X60' VINYL ELECT TAPE,The nan Tape is a verified Tape.,[Product Overview] Brand: nan | Product Type: Tape [Verified Specifications] • Length: 12 ft [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,3M Tape 1700-1PK-BB40,[Product Overview] Brand: nan | Product Type: Tape [Verified Specifications] • Length: 12 ft [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Part Number: 17001PKBB40,Manufacturer: 3 M Co,Material Composition: PVC / Aluminum Oxide / High Speed Steel,Product Dimensions: 1/2 in x 18 in,Board Length: 12 ft,Width Profile: 1x6,Color / Finish: Slate Gray / White / Stainless Steel,Edge Profile: Grooved,Wattage Rating: 60W,Color Temperature: 2700K,Power Source: Electric,Display Condition: New,Package Quantity: 5 Pack,,,,,,,,,,,,,Tape,Length,12 ft,,Size,3/4 in x 60 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 in,,,,3/4 in,,,,,,3_M_Co_1700_1PK_BB40.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
,,,,,,25000060,Electrical Boxes & Wiring,Electrical Wire & Cable,Tape,PROD-0060,ASH-40-40-04,1.5x1.5x13' Legacy Emseal Tape,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Emseal Joint Systems Ltd (EMSJO),Emseal Joint Systems Ltd,,,ASH-40-40-04,,Electrical Boxes & Wiring > Electrical Wire & Cable,Tape ASH-40-40-04,1.5X1.5X13' LEGACY EMSEAL TAPE,The nan Tape is a verified Tape.,[Product Overview] Brand: nan | Product Type: Tape [Verified Specifications] • Length: 12 ft [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Tape ASH-40-40-04,[Product Overview] Brand: nan | Product Type: Tape [Verified Specifications] • Length: 12 ft [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Part Number: ASH404004,Manufacturer: Emseal Joint Systems Ltd,Material Composition: PVC / Aluminum Oxide / High Speed Steel,Product Dimensions: 1/2 in x 18 in,Board Length: 12 ft,Width Profile: 1x6,Color / Finish: Slate Gray / White / Stainless Steel,Edge Profile: Grooved,Wattage Rating: 60W,Color Temperature: 2700K,Power Source: Electric,Display Condition: New,Package Quantity: 5 Pack,,,,,,,,,,,,,Tape,Length,12 ft,,Size,1.5 in x 1.5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 in,,,,1.5 in,,,,,,Emseal_Joint_Systems_Ltd_ASH_40_40_04.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
https://www.appliancedealerscooperative.com/products/kdfm404kps,https://www.appliancedealerscooperative.com/docs/datasheets/kdfm404kps.pdf,https://www.appliancedealerscooperative.com/catalogs/specifications.pdf,https://www.industrialdistributor.com/p/kdfm404kps,,,25000061,Cleaning & Laundry Appliances,Built-In Dishwashers,Dishwasher,PROD-0061,KDFM404KPS,KDFM404KPS Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,,,KDFM404KPS,,Cleaning & Laundry Appliances > Built-In Dishwashers,Dishwasher KDFM404KPS,KDFM404KPS DISHWASHER SS,The nan Dishwasher is a verified Dishwasher.,[Product Overview] Brand: nan | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Dishwasher KDFM404KPS,[Product Overview] Brand: nan | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Color Finish,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.appliancedealerscooperative.com/products/kdfm404kps,,,,,,,,https://www.appliancedealerscooperative.com/catalogs/specifications.pdf,https://www.appliancedealerscooperative.com/docs/datasheets/kdfm404kps.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.appliancedealerscooperative.com/products/pdsh4816af,https://www.appliancedealerscooperative.com/docs/datasheets/pdsh4816af.pdf,https://www.industrialdistributor.com/p/pdsh4816af,,,,25000062,Cleaning & Laundry Appliances,Built-In Dishwashers,Dishwasher,PROD-0062,PDSH4816AF,PDSH4816AF Dishwasher SS - Display Only,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,,,PDSH4816AF,,Cleaning & Laundry Appliances > Built-In Dishwashers,Dishwasher PDSH4816AF,PDSH4816AF DISHWASHER SS - DISPLAY ONLY,The nan Dishwasher is a verified Dishwasher.,[Product Overview] Brand: nan | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Dishwasher PDSH4816AF,[Product Overview] Brand: nan | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Color Finish,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.appliancedealerscooperative.com/products/pdsh4816af,,,,,,,,,https://www.appliancedealerscooperative.com/docs/datasheets/pdsh4816af.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.appliancedealerscooperative.com/products/pdt715syvfs,https://www.appliancedealerscooperative.com/docs/datasheets/pdt715syvfs.pdf,https://www.industrialdistributor.com/p/pdt715syvfs,,,,25000063,Cleaning & Laundry Appliances,Built-In Dishwashers,Dishwasher,PROD-0063,PDT715SYVFS,PDT715SYVFS Ge Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,GE,,PDT715SYVFS,,Cleaning & Laundry Appliances > Built-In Dishwashers,GE Dishwasher PDT715SYVFS,PDT715SYVFS GE DISHWASHER SS,The GE Dishwasher is a verified Dishwasher.,[Product Overview] Brand: GE | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,GE Dishwasher PDT715SYVFS,[Product Overview] Brand: GE | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Color Finish,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.appliancedealerscooperative.com/products/pdt715syvfs,,,,,,,,,https://www.appliancedealerscooperative.com/docs/datasheets/pdt715syvfs.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.appliancedealerscooperative.com/products/ldph5554d,https://www.appliancedealerscooperative.com/docs/datasheets/ldph5554d.pdf,https://www.industrialdistributor.com/p/ldph5554d,,,,25000064,Cleaning & Laundry Appliances,Built-In Dishwashers,Dishwasher,PROD-0064,LDPH5554D,LDPH5554D LG Dishwasher BSS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,LG,,LDPH5554D,,Cleaning & Laundry Appliances > Built-In Dishwashers,LG Dishwasher LDPH5554D,LDPH5554D LG DISHWASHER BSS,The LG Dishwasher is a verified Dishwasher.,[Product Overview] Brand: LG | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,LG Dishwasher LDPH5554D,[Product Overview] Brand: LG | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.appliancedealerscooperative.com/products/ldph5554d,,,,,,,,,https://www.appliancedealerscooperative.com/docs/datasheets/ldph5554d.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.appliancedealerscooperative.com/products/wdts7024rz,https://www.appliancedealerscooperative.com/docs/datasheets/wdts7024rz.pdf,https://www.industrialdistributor.com/p/wdts7024rz,,,,25000065,Cleaning & Laundry Appliances,Built-In Dishwashers,Dishwasher,PROD-0065,WDTS7024RZ,WDTS7024RZ Dishwasher SS - Display Only,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,,,WDTS7024RZ,,Cleaning & Laundry Appliances > Built-In Dishwashers,Dishwasher WDTS7024RZ,WDTS7024RZ DISHWASHER SS - DISPLAY ONLY,The nan Dishwasher is a verified Dishwasher.,[Product Overview] Brand: nan | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,Dishwasher WDTS7024RZ,[Product Overview] Brand: nan | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Color Finish,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.appliancedealerscooperative.com/products/wdts7024rz,,,,,,,,,https://www.appliancedealerscooperative.com/docs/datasheets/wdts7024rz.pdf,,,,,,,,,,,,,,,,,,Yes
https://www.appliancedealerscooperative.com/products/pdd415pyyfs,https://www.appliancedealerscooperative.com/docs/datasheets/pdd415pyyfs.pdf,https://www.industrialdistributor.com/p/pdd415pyyfs,,,,25000066,Cleaning & Laundry Appliances,Built-In Dishwashers,Dishwasher,PROD-0066,PDD415PYYFS,PDD415PYYFS GE Dishwasher SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Appliance Dealers Cooperative,GE,,PDD415PYYFS,,Cleaning & Laundry Appliances > Built-In Dishwashers,GE Dishwasher PDD415PYYFS,PDD415PYYFS GE DISHWASHER SS,The GE Dishwasher is a verified Dishwasher.,[Product Overview] Brand: GE | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,GE Dishwasher PDD415PYYFS,[Product Overview] Brand: GE | Product Type: Dishwasher [Verified Specifications] [Product Details] This product listing contains specifications verified by the Prodexa validation and evidence pipeline.,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwasher,Color Finish,Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.appliancedealerscooperative.com/products/pdd415pyyfs,,,,,,,,,https://www.appliancedealerscooperative.com/docs/datasheets/pdd415pyyfs.pdf,,,,,,,,,,,,,,,,,,Yes
